chunk,sentence
according to, "According to the report, sales increased last quarter."
as soon as possible, "Please send the documents as soon as possible."
at the moment, "The manager is not available at the moment."
be in charge of, "She is in charge of the marketing department."
be responsible for, "He is responsible for customer support."
by the end of, "We will finish the project by the end of this month."
due to, "The meeting was canceled due to bad weather."
for the first time, "I visited the headquarters for the first time."
in advance, "Please make a reservation in advance."
in charge of, "Mr. Smith is in charge of the sales team."
in order to, "We updated the system in order to improve security."
in response to, "We changed the policy in response to customer feedback."
in the future, "We plan to expand overseas in the future."
in the meantime, "The machine is under repair. In the meantime, please use another one."
look forward to, "I look forward to meeting you."
make sure, "Please make sure the door is locked."
no later than, "Submit the report no later than Friday."
on behalf of, "She spoke on behalf of the entire team."
on schedule, "The train arrived on schedule."
on the other hand, "Sales increased in Asia. On the other hand, they decreased in Europe."
over the past few years, "The company has grown rapidly over the past few years."
prior to, "Prior to the meeting, please review the documents."
regardless of, "The event will be held regardless of the weather."
take advantage of, "We should take advantage of this opportunity."
take place, "The conference will take place next week."
take responsibility for, "He will take responsibility for the mistake."
thanks to, "Thanks to your help, we finished early."
up to date, "Make sure the software is up to date."
with regard to, "I am writing with regard to your inquiry."
work on, "She is working on a new project."
a wide range of, "The store sells a wide range of products."
as a result, "Sales dropped as a result of the recession."
at least, "We need at least three more people."
be interested in, "I am interested in this position."
be likely to, "Prices are likely to increase next year."
by mistake, "I sent the email by mistake."
deal with, "He deals with customer complaints."
fill out, "Please fill out this application form."
get in touch with, "I will get in touch with the client tomorrow."
in addition to, "In addition to English, she speaks French."
in case of, "In case of emergency, call this number."
in detail, "The report explains the problem in detail."
keep track of, "We keep track of all expenses."
make a decision, "The board will make a decision tomorrow."
make an effort, "We must make an effort to reduce costs."
on time, "The delivery arrived on time."
set up, "They set up a new office in Osaka."
take care of, "I will take care of the arrangements."
take part in, "Many employees took part in the seminar."
turn out, "The event turned out to be a success."